Numero;Banco
246;Banco ABC Brasil S.A.
299;Banco Afinz S.A. Banco Múltiplo
121;Banco Agibank S.A.
65;Banco Andbank (Brasil) S.A.
96;Banco B3 S.A.
24;Banco BANDEPE S.A.
318;Banco BMG S.A.
752;Banco BNP Paribas Brasil S.A.
107;Banco BOCOM BBM S.A.
63;Banco Bradescard S.A.
36;Banco Bradesco BBI S.A.
394;Banco Bradesco Financiamentos S.A.
237;Banco Bradesco S.A.
218;Banco BS2 S.A.
208;Banco BTG Pactual S.A.
626;Banco C6 Consignado S.A.
;Banco C6 S.A.
473;Banco Caixa Geral - Brasil S.A.
40;Banco Cargill S.A.
233;Banco Cifra S.A.
745;Banco Citibank S.A.
;Banco CNH Industrial Capital S.A.
756;Banco Cooperativo Sicoob S.A.
748;Banco Cooperativo Sicredi S.A.
222;Banco Credit Agricole Brasil S.A.
505;Banco Credit Suisse (Brasil) S.A.
;Banco CSF S.A.
3;Banco da Amazônia S.A.
83;Banco da China Brasil S.A.
707;Banco Daycoval S.A.
;Banco de Lage Landen Brasil S.A.
654;Banco Digimais S.A.
;Banco Digio S.A.
1;Banco do Brasil S.A.
47;Banco do Estado de Sergipe S.A.
37;Banco do Estado do Pará S.A.
41;Banco do Estado do Rio Grande do Sul S.A.
4;Banco do Nordeste do Brasil S.A.
224;Banco Fibra S.A.
;Banco Fidis S.A.
94;Banco Finaxis S.A.
125;Banco Genial S.A.
;Banco GM S.A.
612;Banco Guanabara S.A.
269;Banco HSBC S.A.
;Banco IBM S.A.
12;Banco Inbursa S.A.
604;Banco Industrial do Brasil S.A.
77;Banco Inter S.A.
249;Banco Investcred Unibanco S.A.
184;Banco Itaú BBA S.A.
29;Banco Itaú Consignado S.A.
;Banco Itaú Veículos S.A.
479;Banco ItauBank S.A
;Banco Itaucard S.A.
376;Banco J. P. Morgan S.A.
74;Banco J. Safra S.A.
217;Banco John Deere S.A.
630;Banco Letsbank S.A.
600;Banco Luso Brasileiro S.A.
243;Banco Master S.A.
389;Banco Mercantil do Brasil S.A.
370;Banco Mizuho do Brasil S.A.
746;Banco Modal S.A.
66;Banco Morgan Stanley S.A.
456;Banco MUFG Brasil S.A.
7;Banco Nacional de Desenvolvimento Econômico e Social - BNDES
212;Banco Original S.A.
712;Banco Ourinvest S.A.
623;Banco PAN S.A.
611;Banco Paulista S.A.
643;Banco Pine S.A.
747;Banco Rabobank International Brasil S.A.
;Banco RCI Brasil S.A.
633;Banco Rendimento S.A.
120;Banco Rodobens S.A.
422;Banco Safra S.A.
33;Banco Santander  (Brasil)  S.A.
743;Banco Semear S.A.
276;Banco Senff S.A.
366;Banco Société Générale Brasil S.A.
464;Banco Sumitomo Mitsui Brasileiro S.A.
82;Banco Topázio S.A.
;Banco Toyota do Brasil S.A.
95;Banco Travelex S.A.
634;Banco Triângulo S.A.
653;Banco Voiter S.A.
;Banco Volkswagen S.A.
;Banco Volvo Brasil S.A.
655;Banco Votorantim S.A.
610;Banco VR S.A.
119;Banco Western Union do Brasil S.A.
348;Banco XP S.A.
;Banco Yamaha Motor do Brasil S.A.
21;BANESTES S.A. Banco do Estado do Espírito Santo
755;Bank of America Merrill Lynch Banco Múltiplo S.A.
320;Bank Of China (Brasil) Banco Múltiplo S.A.
496;BBVA Brasil Banco de Investimento S.A.
250;BCV - Banco de Crédito e Varejo S.A.
128;Braza Bank S.A. Banco de Câmbio
70;BRB - Banco de Brasília S.A.
104;Caixa Econômica Federal
477;Citibank N.A.
487;Deutsche Bank S.A. - Banco Alemão
144;Ebury Banco de Câmbio S.A.
62;Hipercard Banco Múltiplo S.A.
341;Itaú Unibanco S.A.
488;JPMorgan Chase Bank, National Association
399;Kirton Bank S.A. - Banco Múltiplo
254;Paraná Banco S.A.
;Scania Banco S.A.
751;Scotiabank Brasil S.A. Banco Múltiplo
14;State Street Brasil S.A. - Banco Comercial
129;UBS Brasil Banco de Investimento S.A.
